figure,problem,metric,method,seeds,n_runs,final_iteration,final_mean,final_std,final_sem,final_mean_minus_sem,final_mean_plus_sem,source_dir,source_files
poisson_convergence,Poisson,l2,Vanilla PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,1.6787080376e-01,8.3685474343e-03,2.6463670599e-03,1.6522443670e-01,1.7051717082e-01,Poisson\Reproducible,losses_poisson_pinn_1018.txt losses_poisson_pinn_1314.txt losses_poisson_pinn_2026.txt losses_poisson_pinn_2138.txt losses_poisson_pinn_3412.txt losses_poisson_pinn_3624.txt losses_poisson_pinn_4138.txt losses_poisson_pinn_4396.txt losses_poisson_pinn_5035.txt losses_poisson_pinn_5752.txt
poisson_convergence,Poisson,l2,SA-PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,1.8920010540e-02,3.8199860614e-03,1.2079856584e-03,1.7712024882e-02,2.0127996198e-02,Poisson\Reproducible,losses_poisson_sa_1018.txt losses_poisson_sa_1314.txt losses_poisson_sa_2026.txt losses_poisson_sa_2138.txt losses_poisson_sa_3412.txt losses_poisson_sa_3624.txt losses_poisson_sa_4138.txt losses_poisson_sa_4396.txt losses_poisson_sa_5035.txt losses_poisson_sa_5752.txt
poisson_convergence,Poisson,l2,RBA-PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,1.4442755720e-02,3.5820614124e-03,1.1327472782e-03,1.3310008442e-02,1.5575502998e-02,Poisson\Reproducible,losses_poisson_rba_1018.txt losses_poisson_rba_1314.txt losses_poisson_rba_2026.txt losses_poisson_rba_2138.txt losses_poisson_rba_3412.txt losses_poisson_rba_3624.txt losses_poisson_rba_4138.txt losses_poisson_rba_4396.txt losses_poisson_rba_5035.txt losses_poisson_rba_5752.txt
poisson_convergence,Poisson,l2,LoReW-PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,1.8274547200e-03,4.1427195343e-04,1.3100429436e-04,1.6964504256e-03,1.9584590144e-03,Poisson\Reproducible,losses_poisson_lorew_pinn_1018.txt losses_poisson_lorew_pinn_1314.txt losses_poisson_lorew_pinn_2026.txt losses_poisson_lorew_pinn_2138.txt losses_poisson_lorew_pinn_3412.txt losses_poisson_lorew_pinn_3624.txt losses_poisson_lorew_pinn_4138.txt losses_poisson_lorew_pinn_4396.txt losses_poisson_lorew_pinn_5035.txt losses_poisson_lorew_pinn_5752.txt
poisson_convergence,Poisson,linf,Vanilla PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,4.1580762875e-01,2.3761241931e-02,7.5139644535e-03,4.0829366430e-01,4.2332159320e-01,Poisson\Reproducible,losses_poisson_pinn_1018.txt losses_poisson_pinn_1314.txt losses_poisson_pinn_2026.txt losses_poisson_pinn_2138.txt losses_poisson_pinn_3412.txt losses_poisson_pinn_3624.txt losses_poisson_pinn_4138.txt losses_poisson_pinn_4396.txt losses_poisson_pinn_5035.txt losses_poisson_pinn_5752.txt
poisson_convergence,Poisson,linf,SA-PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,7.0357003670e-02,2.0456104300e-02,6.4687881641e-03,6.3888215506e-02,7.6825791834e-02,Poisson\Reproducible,losses_poisson_sa_1018.txt losses_poisson_sa_1314.txt losses_poisson_sa_2026.txt losses_poisson_sa_2138.txt losses_poisson_sa_3412.txt losses_poisson_sa_3624.txt losses_poisson_sa_4138.txt losses_poisson_sa_4396.txt losses_poisson_sa_5035.txt losses_poisson_sa_5752.txt
poisson_convergence,Poisson,linf,RBA-PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,7.5418127400e-02,2.6214996250e-02,8.2899097004e-03,6.7128217700e-02,8.3708037100e-02,Poisson\Reproducible,losses_poisson_rba_1018.txt losses_poisson_rba_1314.txt losses_poisson_rba_2026.txt losses_poisson_rba_2138.txt losses_poisson_rba_3412.txt losses_poisson_rba_3624.txt losses_poisson_rba_4138.txt losses_poisson_rba_4396.txt losses_poisson_rba_5035.txt losses_poisson_rba_5752.txt
poisson_convergence,Poisson,linf,LoReW-PINN,1018 1314 2026 2138 3412 3624 4138 4396 5035 5752,10,50000,9.3408917700e-03,3.0796530652e-03,9.7387180891e-04,8.3670199611e-03,1.0314763579e-02,Poisson\Reproducible,losses_poisson_lorew_pinn_1018.txt losses_poisson_lorew_pinn_1314.txt losses_poisson_lorew_pinn_2026.txt losses_poisson_lorew_pinn_2138.txt losses_poisson_lorew_pinn_3412.txt losses_poisson_lorew_pinn_3624.txt losses_poisson_lorew_pinn_4138.txt losses_poisson_lorew_pinn_4396.txt losses_poisson_lorew_pinn_5035.txt losses_poisson_lorew_pinn_5752.txt
helmholtz_convergence,Helmholtz,l2,Vanilla PINN,1234 1648 2138 2341 3053 3624 4083 4399 5035 5472,10,30000,1.1840812149e-01,1.5006517260e-02,4.7454774288e-03,1.1366264406e-01,1.2315359892e-01,Helmholtz\Reproducible,losses_helmholtz_pinn_1234.txt losses_helmholtz_pinn_1648.txt losses_helmholtz_pinn_2138.txt losses_helmholtz_pinn_2341.txt losses_helmholtz_pinn_3053.txt losses_helmholtz_pinn_3624.txt losses_helmholtz_pinn_4083.txt losses_helmholtz_pinn_4399.txt losses_helmholtz_pinn_5035.txt losses_helmholtz_pinn_5472.txt
helmholtz_convergence,Helmholtz,l2,SA-PINN,1234 1648 2138 2341 3053 3624 4083 4399 5035 5472,10,30000,2.3082256440e-02,4.5399817874e-03,1.4356682984e-03,2.1646588142e-02,2.4517924738e-02,Helmholtz\Reproducible,losses_helmholtz_sa_1234.txt losses_helmholtz_sa_1648.txt losses_helmholtz_sa_2138.txt losses_helmholtz_sa_2341.txt losses_helmholtz_sa_3053.txt losses_helmholtz_sa_3624.txt losses_helmholtz_sa_4083.txt losses_helmholtz_sa_4399.txt losses_helmholtz_sa_5035.txt losses_helmholtz_sa_5472.txt
